filepath,ground_truth,system_verdict,final_score,score_Visual (Spatial),score_Audio (Mel+CNN),score_Audio Forensics (ECAPA),score_Cross-Modal (Lip-Sync),score_Facial Biometric (Quality)
fr_115_label_real.npz,Real,Real,0.298795,0.360568,0.666828,0.064835,0.345040,0.524987
fr_113_to_ru_Bark_label_fake.npz,Fake,Deepfake,0.955194,0.835637,0.981934,0.965223,0.861920,0.982210
es_112_to_ru_Bark_label_fake.npz,Fake,Deepfake,0.881019,0.390956,0.987463,0.855893,0.928675,0.954511
fr_61_to_en_Bark_label_fake.npz,Fake,Deepfake,0.974616,0.942905,0.997340,0.961536,0.980329,0.991085
ru_65_to_en_Xtts_label_fake.npz,Fake,Deepfake,0.939764,0.929656,0.649219,0.924453,0.973369,0.992798
zh_2_to_fr_Tacotron_label_fake.npz,Fake,Deepfake,0.972133,0.953936,0.986915,0.961504,0.967735,0.987543
zh_106_to_ja_Vall_label_fake.npz,Fake,Deepfake,0.713525,0.904525,0.021258,0.496902,0.978999,0.987799
fr_61_to_ru_MicroTts_label_fake.npz,Fake,Deepfake,0.972136,0.940767,0.978911,0.957777,0.982475,0.991157
es_89_to_fr_Tacotron_label_fake.npz,Fake,Deepfake,0.963196,0.912474,0.909691,0.949324,0.989607,0.988376
zh_10_to_es_Bark_label_fake.npz,Fake,Deepfake,0.962047,0.838174,0.976297,0.954099,0.950858,0.991124
zh_27_to_en_Xtts_label_fake.npz,Fake,Deepfake,0.846323,0.915690,0.889627,0.743536,0.743254,0.991830
es_122_to_ar_MicroTts_label_fake.npz,Fake,Deepfake,0.924855,0.770651,0.937464,0.932588,0.773874,0.978277
en_48_to_ja_Tacotron_label_fake.npz,Fake,Deepfake,0.967982,0.916892,0.953905,0.954032,0.984769,0.990432
zh_84_to_es_Xtts_label_fake.npz,Fake,Deepfake,0.895633,0.439233,0.983984,0.948722,0.603806,0.963334
en_46_to_zh_Tacotron_label_fake.npz,Fake,Deepfake,0.957470,0.899310,0.994725,0.931968,0.982966,0.985959
es_119_to_ar_Xtts_label_fake.npz,Fake,Deepfake,0.942812,0.891171,0.523558,0.954078,0.966745,0.988759
en_21_to_zh_Xtts_label_fake.npz,Fake,Deepfake,0.949170,0.911517,0.981992,0.911625,0.979625,0.989431
zh_24_to_en_Bark_label_fake.npz,Fake,Deepfake,0.954474,0.923089,0.984412,0.925819,0.976919,0.985109
en_106_to_fr_Tacotron_label_fake.npz,Fake,Deepfake,0.977879,0.949892,0.996464,0.965963,0.988024,0.991643
en_115_to_ja_MicroTts_label_fake.npz,Fake,Deepfake,0.903421,0.812013,0.989612,0.951432,0.955437,0.827577
es_97_to_fr_Tacotron_label_fake.npz,Fake,Deepfake,0.967898,0.945362,0.986203,0.943779,0.990179,0.993147
es_101_to_zh_Tacotron_label_fake.npz,Fake,Deepfake,0.928750,0.718939,0.984137,0.957649,0.734266,0.969221
es_17_to_ja_Tacotron_label_fake.npz,Fake,Deepfake,0.969204,0.934111,0.990849,0.956441,0.973400,0.986337
en_47_to_es_MicroTts_label_fake.npz,Fake,Deepfake,0.824471,0.612164,0.984419,0.934775,0.903633,0.667513
ja_51_to_ru_MicroTts_label_fake.npz,Fake,Deepfake,0.913940,0.623728,0.983154,0.912455,0.977633,0.929223
zh_106_to_ru_Bark_label_fake.npz,Fake,Deepfake,0.965923,0.885083,0.946772,0.957980,0.981281,0.986033
fr_46_to_zh_Bark_label_fake.npz,Fake,Deepfake,0.986586,0.881636,0.990989,0.997886,0.969994,0.991163
en_78_to_ja_Tacotron_label_fake.npz,Fake,Deepfake,0.976854,0.936518,0.984412,0.971358,0.982915,0.986870
ja_7_to_en_MicroTts_label_fake.npz,Fake,Deepfake,0.977035,0.920755,0.970041,0.973630,0.983984,0.988468
es_71_to_ar_MicroTts_label_fake.npz,Fake,Deepfake,0.879852,0.766003,0.522204,0.940451,0.935865,0.853293
fr_40_label_real.npz,Real,Real,0.064226,0.074321,0.044078,0.094260,0.017640,0.040358
en_40_to_ar_MicroTts_label_fake.npz,Fake,Deepfake,0.960434,0.905746,0.960924,0.939299,0.981551,0.989317
fr_14_to_ar_MicroTts_label_fake.npz,Fake,Deepfake,0.967562,0.894039,0.934932,0.957237,0.986522,0.990584
en_98_to_es_Xtts_label_fake.npz,Fake,Deepfake,0.977660,0.921029,0.866536,0.986368,0.978302,0.990246
zh_63_to_en_MicroTts_label_fake.npz,Fake,Deepfake,0.970314,0.871897,0.982949,0.961756,0.983696,0.989749
es_11_to_ru_Bark_label_fake.npz,Fake,Deepfake,0.952253,0.809986,0.993226,0.933236,0.986483,0.981394
fr_57_to_ru_Xtts_label_fake.npz,Fake,Deepfake,0.842491,0.909076,0.270660,0.750337,0.987237,0.991798
es_68_to_zh_Tacotron_label_fake.npz,Fake,Deepfake,0.929544,0.834853,0.993476,0.942496,0.970206,0.905668
ja_18_label_real.npz,Real,Real,0.078659,0.147917,0.133162,0.120276,0.054690,0.014319
ja_18_to_fr_MicroTts_label_fake.npz,Fake,Deepfake,0.962434,0.851352,0.838378,0.979454,0.962181,0.974214
zh_89_to_fr_Tacotron_label_fake.npz,Fake,Deepfake,0.968583,0.813433,0.910146,0.978207,0.978743,0.983820
fr_46_to_en_Bark_label_fake.npz,Fake,Deepfake,0.923586,0.646846,0.986184,0.911987,0.921838,0.969591
es_47_to_zh_Tacotron_label_fake.npz,Fake,Deepfake,0.958474,0.779523,0.995953,0.963274,0.911285,0.985996
en_48_to_es_Xtts_label_fake.npz,Fake,Deepfake,0.938380,0.903071,0.549694,0.971220,0.978678,0.945213
ja_2_to_en_Vall_label_fake.npz,Fake,Deepfake,0.866740,0.834718,0.602075,0.780450,0.975556,0.988978
es_31_to_fr_MicroTts_label_fake.npz,Fake,Deepfake,0.919328,0.776556,0.978907,0.966965,0.985098,0.851173
zh_30_to_en_Bark_label_fake.npz,Fake,Deepfake,0.962573,0.936689,0.990416,0.942542,0.967346,0.986685
fr_99_to_ru_Xtts_label_fake.npz,Fake,Deepfake,0.968424,0.916995,0.940644,0.964893,0.961988,0.986118
en_126_to_es_Tacotron_label_fake.npz,Fake,Deepfake,0.964444,0.933799,0.931143,0.951054,0.968542,0.989623
es_26_to_fr_MicroTts_label_fake.npz,Fake,Deepfake,0.896697,0.637909,0.991205,0.939759,0.947013,0.850424
es_37_to_ja_Tacotron_label_fake.npz,Fake,Deepfake,0.881974,0.671962,0.995000,0.962640,0.932890,0.777568
zh_48_to_ja_Bark_label_fake.npz,Fake,Deepfake,0.969262,0.922758,0.989064,0.957756,0.969483,0.987807
en_65_to_es_Bark_label_fake.npz,Fake,Deepfake,0.946375,0.783563,0.983583,0.942525,0.921768,0.976300
ar_30_to_ru_MicroTts_label_fake.npz,Fake,Deepfake,0.963661,0.875495,0.904018,0.955964,0.984785,0.988636
fr_28_to_en_MicroTts_label_fake.npz,Fake,Deepfake,0.962473,0.914279,0.901104,0.951384,0.964108,0.991915
fr_96_to_ru_Xtts_label_fake.npz,Fake,Deepfake,0.954352,0.920584,0.693287,0.950502,0.986523,0.992230
fr_90_to_en_Xtts_label_fake.npz,Fake,Deepfake,0.939464,0.868060,0.834537,0.915833,0.986837,0.981503
fr_4_to_en_MicroTts_label_fake.npz,Fake,Deepfake,0.960303,0.871317,0.993580,0.957468,0.976309,0.967332
zh_50_to_ar_MicroTts_label_fake.npz,Fake,Deepfake,0.961159,0.919684,0.990364,0.937462,0.980308,0.987908
en_61_to_es_Bark_label_fake.npz,Fake,Deepfake,0.964393,0.818490,0.984650,0.961882,0.957554,0.987524
fr_71_to_ar_MicroTts_label_fake.npz,Fake,Deepfake,0.933636,0.903718,0.967819,0.936641,0.890442,0.941503
ru_7_to_es_Bark_label_fake.npz,Fake,Deepfake,0.924707,0.788535,0.981624,0.923142,0.922603,0.938642
ru_37_to_zh_Bark_label_fake.npz,Fake,Deepfake,0.956651,0.877486,0.995895,0.940726,0.943541,0.986576
ar_47_to_ja_MicroTts_label_fake.npz,Fake,Deepfake,0.954194,0.819382,0.994227,0.955157,0.981930,0.958570
ja_23_to_zh_Vall_label_fake.npz,Fake,Deepfake,0.699920,0.801216,0.708558,0.403058,0.957538,0.992289
es_53_to_fr_Bark_label_fake.npz,Fake,Deepfake,0.964662,0.942386,0.993439,0.942268,0.969197,0.991229
zh_56_to_es_Tacotron_label_fake.npz,Fake,Deepfake,0.950559,0.741965,0.930510,0.956608,0.939224,0.978684
zh_104_to_en_Tacotron_label_fake.npz,Fake,Deepfake,0.964102,0.925783,0.966501,0.945745,0.981703,0.987805
en_47_to_ja_MicroTts_label_fake.npz,Fake,Deepfake,0.952880,0.871641,0.985168,0.923857,0.980329,0.989345
en_113_to_zh_Bark_label_fake.npz,Fake,Deepfake,0.944104,0.755137,0.971970,0.957699,0.846144,0.977627
fr_13_to_zh_Xtts_label_fake.npz,Fake,Deepfake,0.967751,0.928804,0.956304,0.950279,0.986323,0.992108
ru_5_label_real.npz,Real,Real,0.091726,0.080908,0.018406,0.155082,0.045932,0.035373
ru_57_to_zh_Bark_label_fake.npz,Fake,Deepfake,0.921061,0.843388,0.998073,0.931428,0.973924,0.892724
en_63_to_zh_MicroTts_label_fake.npz,Fake,Deepfake,0.940025,0.683357,0.953773,0.932584,0.953892,0.980334
ja_1_to_zh_MicroTts_label_fake.npz,Fake,Deepfake,0.958937,0.840004,0.988811,0.940763,0.976576,0.989988
ru_118_to_en_Bark_label_fake.npz,Fake,Deepfake,0.946764,0.649814,0.955110,0.969298,0.967572,0.953077
ar_69_to_fr_MicroTts_label_fake.npz,Fake,Deepfake,0.952237,0.901252,0.945528,0.935404,0.945477,0.984053
zh_104_to_en_MicroTts_label_fake.npz,Fake,Deepfake,0.971569,0.923142,0.994235,0.965278,0.971170,0.983453
es_61_to_ru_Bark_label_fake.npz,Fake,Deepfake,0.971639,0.916685,0.996005,0.957800,0.981556,0.990969
en_119_to_ja_Vall_label_fake.npz,Fake,Deepfake,0.908399,0.914514,0.209873,0.906013,0.990453,0.986939
en_116_to_es_Tacotron_label_fake.npz,Fake,Deepfake,0.954483,0.902135,0.979776,0.964942,0.974756,0.939109
en_1_to_ja_Tacotron_label_fake.npz,Fake,Deepfake,0.863455,0.364393,0.980683,0.936624,0.492983,0.929778
es_69_to_zh_Tacotron_label_fake.npz,Fake,Deepfake,0.963080,0.922827,0.973495,0.941801,0.977950,0.990452
en_106_to_ja_Tacotron_label_fake.npz,Fake,Deepfake,0.969107,0.887798,0.991010,0.965440,0.978062,0.979749
zh_86_label_real.npz,Real,Real,0.050115,0.077971,0.204961,0.072179,0.018790,0.004598
zh_115_to_es_MicroTts_label_fake.npz,Fake,Deepfake,0.961846,0.815908,0.995548,0.950684,0.972697,0.989131
zh_45_to_en_Xtts_label_fake.npz,Fake,Deepfake,0.914211,0.927780,0.763990,0.860248,0.952381,0.992209
ja_59_label_real.npz,Real,Real,0.043793,0.067667,0.062581,0.076561,0.016771,0.003290
zh_70_to_ja_MicroTts_label_fake.npz,Fake,Deepfake,0.967264,0.927492,0.977256,0.959166,0.975513,0.979574
en_78_to_zh_Bark_label_fake.npz,Fake,Deepfake,0.967498,0.921587,0.992400,0.954425,0.984859,0.982347
en_32_to_ja_MicroTts_label_fake.npz,Fake,Deepfake,0.960193,0.919378,0.992488,0.934839,0.971411,0.990802
ru_53_to_es_Bark_label_fake.npz,Fake,Deepfake,0.942284,0.874086,0.963205,0.939305,0.975120,0.943486
ja_53_label_real.npz,Real,Real,0.025861,0.065763,0.002678,0.045003,0.011649,0.002921
zh_45_label_real.npz,Real,Real,0.043180,0.064911,0.018534,0.068024,0.073917,0.002871
en_92_to_fr_Xtts_label_fake.npz,Fake,Deepfake,0.904560,0.779158,0.669596,0.913984,0.733993,0.992659
ja_31_to_en_Bark_label_fake.npz,Fake,Deepfake,0.966932,0.874776,0.981487,0.958734,0.956546,0.991525
zh_43_to_es_Bark_label_fake.npz,Fake,Deepfake,0.956525,0.773580,0.979992,0.969486,0.964786,0.960284
es_53_to_ja_MicroTts_label_fake.npz,Fake,Deepfake,0.969143,0.933597,0.989241,0.960027,0.956942,0.986556
zh_61_to_es_MicroTts_label_fake.npz,Fake,Deepfake,0.949883,0.736832,0.782720,0.955657,0.973937,0.989902
zh_49_to_ru_Bark_label_fake.npz,Fake,Deepfake,0.957941,0.931830,0.994100,0.927017,0.981245,0.989608
ar_63_to_ru_MicroTts_label_fake.npz,Fake,Deepfake,0.943049,0.936508,0.957606,0.956703,0.708424,0.991384
zh_36_to_ru_MicroTts_label_fake.npz,Fake,Deepfake,0.969675,0.946824,0.994698,0.956418,0.976623,0.984423
ru_112_to_zh_MicroTts_label_fake.npz,Fake,Deepfake,0.963472,0.791129,0.988717,0.958023,0.984289,0.985543
fr_99_to_es_MicroTts_label_fake.npz,Fake,Deepfake,0.959101,0.814927,0.989916,0.955221,0.951212,0.982539
zh_55_to_fr_Tacotron_label_fake.npz,Fake,Deepfake,0.945348,0.939783,0.963395,0.917711,0.926528,0.984474
fr_88_to_ar_MicroTts_label_fake.npz,Fake,Deepfake,0.936377,0.686464,0.934078,0.957422,0.931868,0.946637
ar_51_label_real.npz,Real,Real,0.047029,0.070594,0.022488,0.085194,0.013741,0.007609
en_95_to_ar_MicroTts_label_fake.npz,Fake,Deepfake,0.900610,0.935231,0.951247,0.911610,0.494884,0.990209
en_22_to_zh_Tacotron_label_fake.npz,Fake,Deepfake,0.913249,0.890885,0.988734,0.848775,0.935003,0.982340
zh_52_to_es_MicroTts_label_fake.npz,Fake,Deepfake,0.945646,0.914834,0.893879,0.917731,0.951931,0.991539
en_35_to_es_Tacotron_label_fake.npz,Fake,Deepfake,0.974544,0.918616,0.940955,0.972634,0.970845,0.990844
es_118_to_zh_Xtts_label_fake.npz,Fake,Deepfake,0.938327,0.919819,0.653133,0.922569,0.991110,0.986893
ja_31_to_zh_Tacotron_label_fake.npz,Fake,Deepfake,0.959538,0.891510,0.997235,0.941300,0.943616,0.991870
ru_58_to_ar_MicroTts_label_fake.npz,Fake,Deepfake,0.945853,0.820422,0.959250,0.967452,0.922822,0.940667
ru_42_to_en_Xtts_label_fake.npz,Fake,Deepfake,0.945301,0.868408,0.946555,0.939243,0.932294,0.967613
fr_67_to_es_MicroTts_label_fake.npz,Fake,Deepfake,0.960307,0.918080,0.982255,0.946068,0.938854,0.987640
zh_106_to_fr_Xtts_label_fake.npz,Fake,Deepfake,0.965596,0.824144,0.692432,0.991160,0.983827,0.986749
fr_51_to_ja_Bark_label_fake.npz,Fake,Deepfake,0.970577,0.802976,0.990344,0.977323,0.939038,0.992035
fr_24_to_zh_Tacotron_label_fake.npz,Fake,Deepfake,0.963122,0.878079,0.995234,0.942750,0.983016,0.991191
en_112_to_zh_MicroTts_label_fake.npz,Fake,Deepfake,0.930638,0.849349,0.992203,0.956906,0.816922,0.932173
en_4_to_fr_Xtts_label_fake.npz,Fake,Deepfake,0.811891,0.308868,0.475214,0.901248,0.869775,0.800423
zh_122_to_en_Vall_label_fake.npz,Fake,Deepfake,0.914895,0.859856,0.881904,0.857085,0.963804,0.987824
zh_6_to_fr_Bark_label_fake.npz,Fake,Deepfake,0.959512,0.941505,0.978854,0.951102,0.902810,0.986334
en_39_to_ja_Vall_label_fake.npz,Fake,Deepfake,0.840296,0.839898,0.237476,0.770585,0.954808,0.983381
es_94_to_en_MicroTts_label_fake.npz,Fake,Deepfake,0.964650,0.889085,0.998833,0.966371,0.979200,0.964192
zh_48_to_en_Vall_label_fake.npz,Fake,Deepfake,0.892360,0.924639,0.113039,0.881152,0.981179,0.988114
fr_105_to_ru_Bark_label_fake.npz,Fake,Deepfake,0.970368,0.931827,0.996153,0.954450,0.973524,0.991754
es_19_to_zh_Tacotron_label_fake.npz,Fake,Deepfake,0.956744,0.913168,0.983049,0.936737,0.950240,0.986792
en_121_to_fr_Xtts_label_fake.npz,Fake,Deepfake,0.884494,0.679676,0.453806,0.853427,0.979470,0.988088
fr_41_to_es_MicroTts_label_fake.npz,Fake,Deepfake,0.959909,0.849423,0.993198,0.942014,0.973126,0.990168
ru_23_to_zh_Bark_label_fake.npz,Fake,Deepfake,0.917928,0.884926,0.993845,0.859995,0.916580,0.986668
en_84_to_ja_Bark_label_fake.npz,Fake,Deepfake,0.966758,0.938116,0.989501,0.949556,0.965969,0.989944
es_57_to_en_Xtts_label_fake.npz,Fake,Deepfake,0.933445,0.833690,0.854239,0.925806,0.960202,0.961189
zh_4_to_ru_Xtts_label_fake.npz,Fake,Deepfake,0.936614,0.926901,0.874287,0.969942,0.628844,0.991989
ru_57_to_en_Bark_label_fake.npz,Fake,Deepfake,0.911421,0.856332,0.967129,0.904977,0.918236,0.917671
zh_32_to_en_MicroTts_label_fake.npz,Fake,Deepfake,0.964550,0.935353,0.995697,0.938253,0.982493,0.992956
en_16_label_real.npz,Real,Real,0.045498,0.091367,0.250145,0.036724,0.016420,0.029298
en_107_to_zh_Tacotron_label_fake.npz,Fake,Deepfake,0.966822,0.939783,0.967752,0.945452,0.988516,0.991829
ja_10_to_zh_Tacotron_label_fake.npz,Fake,Deepfake,0.706349,0.761829,0.998678,0.926182,0.587989,0.407836
en_86_to_es_MicroTts_label_fake.npz,Fake,Deepfake,0.947294,0.925850,0.985569,0.905532,0.981710,0.988751
ru_105_to_zh_Xtts_label_fake.npz,Fake,Deepfake,0.953210,0.944255,0.696779,0.948231,0.982244,0.989227
zh_102_to_en_Tacotron_label_fake.npz,Fake,Deepfake,0.968789,0.918289,0.974785,0.960727,0.958969,0.988317
fr_1_label_real.npz,Real,Real,0.032286,0.062889,0.011504,0.057882,0.010998,0.004055
fr_38_to_ar_Xtts_label_fake.npz,Fake,Deepfake,0.559170,0.812595,0.902372,0.077323,0.928596,0.987905
en_106_to_ja_Bark_label_fake.npz,Fake,Deepfake,0.976524,0.947064,0.961245,0.966962,0.988010,0.991928
en_44_to_fr_Tacotron_label_fake.npz,Fake,Deepfake,0.956536,0.799134,0.982300,0.944511,0.983502,0.983097
ar_30_to_en_MicroTts_label_fake.npz,Fake,Deepfake,0.965651,0.865637,0.914641,0.960259,0.986053,0.988328
en_57_to_ja_MicroTts_label_fake.npz,Fake,Deepfake,0.968599,0.845605,0.975509,0.968209,0.958143,0.988670
ru_35_to_zh_Bark_label_fake.npz,Fake,Deepfake,0.940180,0.809610,0.996861,0.952312,0.928875,0.938368
es_46_to_zh_Bark_label_fake.npz,Fake,Deepfake,0.975656,0.917007,0.983165,0.971703,0.963973,0.991382
en_1_to_fr_MicroTts_label_fake.npz,Fake,Deepfake,0.782619,0.386656,0.978730,0.874062,0.093738,0.890424
ja_41_to_ar_MicroTts_label_fake.npz,Fake,Deepfake,0.954239,0.886816,0.990445,0.945839,0.987254,0.960066
fr_6_to_ar_Xtts_label_fake.npz,Fake,Deepfake,0.954145,0.862190,0.571742,0.971974,0.988955,0.989042
es_4_to_fr_MicroTts_label_fake.npz,Fake,Deepfake,0.958575,0.829170,0.934109,0.972974,0.973645,0.957739
zh_83_to_fr_Tacotron_label_fake.npz,Fake,Deepfake,0.912815,0.815226,0.981976,0.843427,0.979704,0.986977
ru_120_to_ja_MicroTts_label_fake.npz,Fake,Deepfake,0.958565,0.739633,0.990195,0.955145,0.983917,0.982477
ru_53_to_es_MicroTts_label_fake.npz,Fake,Deepfake,0.959054,0.840398,0.896282,0.968253,0.983728,0.966095
ru_74_to_fr_MicroTts_label_fake.npz,Fake,Deepfake,0.863897,0.689998,0.987948,0.956082,0.874039,0.749598
ru_19_to_ar_Xtts_label_fake.npz,Fake,Deepfake,0.845015,0.294999,0.821085,0.899202,0.552640,0.940874
ja_58_to_en_MicroTts_label_fake.npz,Fake,Deepfake,0.965040,0.944140,0.979452,0.939534,0.985639,0.992875
zh_93_to_ja_Bark_label_fake.npz,Fake,Deepfake,0.975267,0.915163,0.967153,0.969769,0.981223,0.990379
ar_13_label_real.npz,Real,Real,0.036318,0.073867,0.011090,0.058911,0.013762,0.011954
es_100_to_ru_Bark_label_fake.npz,Fake,Deepfake,0.914996,0.712713,0.994639,0.970506,0.514998,0.975431
es_6_to_ar_Xtts_label_fake.npz,Fake,Deepfake,0.896624,0.749462,0.284591,0.961597,0.942585,0.908412
ru_68_to_es_Bark_label_fake.npz,Fake,Deepfake,0.950607,0.942465,0.990777,0.909371,0.973997,0.992366
en_54_to_ru_MicroTts_label_fake.npz,Fake,Deepfake,0.928013,0.776610,0.984536,0.950357,0.963343,0.902744
en_61_to_fr_Bark_label_fake.npz,Fake,Deepfake,0.964802,0.864957,0.976296,0.968884,0.906301,0.988889
en_46_to_zh_Bark_label_fake.npz,Fake,Deepfake,0.971501,0.888820,0.988938,0.967376,0.972022,0.985976
zh_18_to_en_Tacotron_label_fake.npz,Fake,Deepfake,0.971411,0.953699,0.995263,0.964902,0.947308,0.985788
en_116_to_fr_MicroTts_label_fake.npz,Fake,Deepfake,0.966156,0.905198,0.948759,0.971998,0.974318,0.967507
en_122_to_fr_Tacotron_label_fake.npz,Fake,Deepfake,0.979334,0.942658,0.987282,0.973442,0.988128,0.988501
fr_25_to_es_Bark_label_fake.npz,Fake,Deepfake,0.966493,0.856003,0.974772,0.962267,0.949787,0.991300
zh_31_to_ru_Xtts_label_fake.npz,Fake,Deepfake,0.984523,0.915998,0.953929,0.992879,0.967979,0.992666
ru_127_to_ja_Bark_label_fake.npz,Fake,Deepfake,0.965786,0.822044,0.987812,0.969498,0.976042,0.975471
es_42_to_zh_Xtts_label_fake.npz,Fake,Deepfake,0.898992,0.934689,0.092337,0.898012,0.977138,0.988060
ru_34_to_zh_Bark_label_fake.npz,Fake,Deepfake,0.942946,0.889726,0.993089,0.898843,0.970841,0.992120
en_98_to_zh_Tacotron_label_fake.npz,Fake,Deepfake,0.958111,0.930026,0.974825,0.932766,0.967450,0.989654
ja_37_label_real.npz,Real,Real,0.015220,0.066213,0.009505,0.013179,0.028532,0.007571
zh_112_to_es_MicroTts_label_fake.npz,Fake,Deepfake,0.965477,0.923588,0.951237,0.951114,0.976800,0.988726
es_53_to_zh_MicroTts_label_fake.npz,Fake,Deepfake,0.954038,0.943616,0.984012,0.917865,0.977315,0.991101
fr_83_to_es_MicroTts_label_fake.npz,Fake,Deepfake,0.945806,0.836494,0.980443,0.937804,0.948470,0.966001
en_37_to_zh_Vall_label_fake.npz,Fake,Deepfake,0.946727,0.925074,0.547415,0.951261,0.985266,0.990025
en_76_to_zh_Vall_label_fake.npz,Fake,Deepfake,0.886372,0.922438,0.389445,0.846364,0.975773,0.978106
fr_94_to_zh_Bark_label_fake.npz,Fake,Deepfake,0.970399,0.883361,0.996218,0.960766,0.979566,0.988910
ru_40_to_fr_Xtts_label_fake.npz,Fake,Deepfake,0.931318,0.887624,0.956088,0.885004,0.960491,0.985232
en_120_to_ar_MicroTts_label_fake.npz,Fake,Deepfake,0.961574,0.925641,0.984909,0.938812,0.977680,0.988036
es_73_to_zh_Xtts_label_fake.npz,Fake,Deepfake,0.881923,0.928107,0.154467,0.855084,0.970306,0.988503
ru_90_to_en_Xtts_label_fake.npz,Fake,Deepfake,0.874448,0.825207,0.970970,0.807156,0.848341,0.961671
ru_11_to_ar_Xtts_label_fake.npz,Fake,Deepfake,0.965274,0.863942,0.981163,0.962077,0.931716,0.991179
es_16_to_en_MicroTts_label_fake.npz,Fake,Deepfake,0.965575,0.926592,0.961991,0.957285,0.940914,0.989360
ru_94_to_fr_Xtts_label_fake.npz,Fake,Deepfake,0.645155,0.937561,0.333562,0.310727,0.980373,0.982098
es_14_to_en_MicroTts_label_fake.npz,Fake,Deepfake,0.934676,0.787536,0.985408,0.910791,0.925022,0.981915
en_118_to_es_Tacotron_label_fake.npz,Fake,Deepfake,0.969222,0.916893,0.976589,0.957310,0.984967,0.986463
en_42_to_ru_Bark_label_fake.npz,Fake,Deepfake,0.972436,0.862529,0.990785,0.971229,0.967296,0.988536
en_68_to_ru_Bark_label_fake.npz,Fake,Deepfake,0.964506,0.866711,0.999155,0.954107,0.971342,0.984945
ru_41_to_ar_MicroTts_label_fake.npz,Fake,Deepfake,0.914413,0.822363,0.974370,0.946057,0.969686,0.862520
ja_44_to_ru_MicroTts_label_fake.npz,Fake,Deepfake,0.952655,0.861496,0.990040,0.961915,0.806825,0.990096
en_75_to_ja_Bark_label_fake.npz,Fake,Deepfake,0.933016,0.835024,0.973480,0.940943,0.798971,0.969341
ru_99_to_fr_Xtts_label_fake.npz,Fake,Deepfake,0.968772,0.917332,0.894493,0.984654,0.981530,0.962667
en_19_to_ar_Xtts_label_fake.npz,Fake,Deepfake,0.808072,0.926252,0.942883,0.598277,0.981592,0.992089
fr_97_to_ru_Xtts_label_fake.npz,Fake,Deepfake,0.973348,0.903035,0.949588,0.970802,0.976584,0.989136
zh_48_to_es_Bark_label_fake.npz,Fake,Deepfake,0.955139,0.910307,0.979387,0.929072,0.976695,0.985436
ru_19_to_fr_Bark_label_fake.npz,Fake,Deepfake,0.864696,0.410780,0.985788,0.885282,0.852971,0.889125
fr_55_to_ru_Xtts_label_fake.npz,Fake,Deepfake,0.870908,0.844392,0.689308,0.822127,0.813138,0.979864
ru_30_label_real.npz,Real,Real,0.055521,0.073727,0.039188,0.101656,0.022009,0.005511
es_104_to_fr_MicroTts_label_fake.npz,Fake,Deepfake,0.952223,0.844495,0.827803,0.966331,0.891467,0.984606
en_7_to_ar_Xtts_label_fake.npz,Fake,Deepfake,0.948387,0.918729,0.907168,0.928084,0.928845,0.990200
fr_87_to_en_MicroTts_label_fake.npz,Fake,Deepfake,0.969995,0.939340,0.997723,0.952049,0.973780,0.992406
es_77_to_ja_MicroTts_label_fake.npz,Fake,Deepfake,0.964828,0.899172,0.986166,0.949387,0.970727,0.989325
fr_88_label_real.npz,Real,Real,0.017590,0.164646,0.016873,0.002589,0.016556,0.016266
fr_61_to_en_Xtts_label_fake.npz,Fake,Deepfake,0.949402,0.937364,0.367176,0.974027,0.989491,0.991183
ja_59_to_es_Tacotron_label_fake.npz,Fake,Deepfake,0.964966,0.936780,0.980738,0.941862,0.991642,0.988822
ru_64_to_fr_Xtts_label_fake.npz,Fake,Deepfake,0.947528,0.860384,0.744027,0.959975,0.962182,0.968859
es_101_to_ru_MicroTts_label_fake.npz,Fake,Deepfake,0.910926,0.662471,0.984059,0.938831,0.670363,0.968825
ru_82_to_fr_MicroTts_label_fake.npz,Fake,Deepfake,0.957329,0.789330,0.998899,0.948694,0.978033,0.980577
es_25_to_zh_Bark_label_fake.npz,Fake,Deepfake,0.943464,0.526855,0.973677,0.944970,0.963145,0.991104
en_38_to_zh_Vall_label_fake.npz,Fake,Deepfake,0.881881,0.919281,0.226958,0.843943,0.984571,0.989536
fr_57_label_real.npz,Real,Real,0.227528,0.212882,0.218982,0.429316,0.026759,0.028762
en_97_to_ja_Bark_label_fake.npz,Fake,Deepfake,0.967360,0.868148,0.973136,0.959482,0.967811,0.990707
zh_74_to_fr_Tacotron_label_fake.npz,Fake,Deepfake,0.960368,0.821986,0.879395,0.959883,0.969244,0.989791
es_51_to_en_Xtts_label_fake.npz,Fake,Deepfake,0.976024,0.911968,0.938370,0.984731,0.950793,0.986568
fr_16_to_ru_MicroTts_label_fake.npz,Fake,Deepfake,0.941616,0.748366,0.918262,0.954331,0.823134,0.990063
ar_43_to_zh_Xtts_label_fake.npz,Fake,Deepfake,0.691977,0.451556,0.936104,0.465384,0.754890,0.964806
en_6_to_ru_Bark_label_fake.npz,Fake,Deepfake,0.958061,0.892172,0.967465,0.959824,0.875141,0.987556
es_105_to_ar_MicroTts_label_fake.npz,Fake,Deepfake,0.961441,0.863448,0.913017,0.951025,0.983467,0.989458
es_95_to_ja_Tacotron_label_fake.npz,Fake,Deepfake,0.969086,0.926529,0.996822,0.958880,0.966082,0.985184
